medcodeid,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,term,eth5
"142711000000119","93941000000108","142711000000119","9i28","9i28.00","Greek Cypriot - ethnic category 2001 census","0. White"
"142721000000113","93951000000106","142721000000113","9i2A","9i2A.00","Turkish Cypriot - ethnic category 2001 census","0. White"
"158481000000115","93961000000109","158481000000115","9i2B","9i2B.00","Italian - ethnic category 2001 census","0. White"
"142741000000118","93981000000100","142741000000118","9i2J","9i2J.00","Kosovan - ethnic category 2001 census","0. White"
"142751000000115","93991000000103","142751000000115","9i2L","9i2L.00","Bosnian - ethnic category 2001 census","0. White"
"142761000000117","94001000000108","142761000000117","9i2M","9i2M.00","Croatian - ethnic category 2001 census","0. White"
"937371000006116","94011000000105","142771000000112","9i2P","9i2P.00","Other republics which made up the former Yugoslavia - ethnic category 2001 census","0. White"
"142781000000114","94021000000104","142781000000114","9i2Q","9i2Q.00","Mixed Irish and other White - ethnic category 2001 census","0. White"
"142791000000111","94031000000102","142791000000111","9i2S","9i2S.00","Other mixed White - ethnic category 2001 census","0. White"
"937391000006115","94041000000106","142801000000110","9i2R","9i2R.00","Other White European or European unspecified or Mixed European - ethnic category 2001 census","0. White"
"937411000006115","94051000000109","158491000000118","9i2T","9i2T.00","Other White or White unspecified - ethnic category 2001 census","0. White"
"142811000000112","94061000000107","142811000000112","9iFA","9iFA.00","North African - ethnic category 2001 census","3. Other"
"937871000006114","94071000000100","142821000000118","9iFB","9iFB.00","Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census","3. Other"
"142831000000116","94081000000103","142831000000116","9iFC","9iFC.00","Israeli - ethnic category 2001 census","3. Other"
"142841000000113","94091000000101","142841000000113","9iFE","9iFE.00","Kurdish - ethnic category 2001 census","3. Other"
"142851000000111","94101000000109","142851000000111","9iFF","9iFF.00","Moroccan - ethnic category 2001 census","3. Other"
"142861000000114","94111000000106","142861000000114","9iFG","9iFG.00","Latin American - ethnic category 2001 census","3. Other"
"937941000006111","94121000000100","142871000000119","9iFJ","9iFJ.00","Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census","3. Other"
"142881000000117","94131000000103","142881000000117","9iF4","9iF4.00","Buddhist - ethnic category 2001 census","3. Other"
"142891000000115","94141000000107","142891000000115","9iF8","9iF8.00","Sikh - ethnic category 2001 census","3. Other"
"142901000000119","94151000000105","142901000000119","9iFK","9iFK.00","Any other group - ethnic category 2001 census","3. Other"
"2484471000000115","976551000000109","2484471000000115","9t","9t...00","Ethnic category - 2011 census","5. Not Stated"
"2484511000000112","976571000000100","2484511000000112","9t0","9t0..00","Ethnic category - 2011 census England and Wales","5. Not Stated"
"2484551000000111","976591000000101","2484551000000111","9t1","9t1..00","Ethnic category - 2011 census Northern Ireland","5. Not Stated"
"2484591000000115","976611000000109","2484591000000115","9t2","9t2..00","Ethnic category - 2011 census Scotland","5. Not Stated"
"1968051000006116","976631000000101","2484631000000115","9t00","9t00.00","White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census","0. White"
"2484671000000118","976651000000108","2484671000000118","9t01","9t01.00","White: Irish - England and Wales ethnic category 2011 census","0. White"
"1968071000006114","976671000000104","2484711000000117","9t02","9t02.00","White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census","0. White"
"1968081000006112","976691000000100","2484751000000118","9t03","9t03.00","White: any other White background - England and Wales ethnic category 2011 census","0. White"
"1968091000006110","976711000000103","2484791000000114","9t04","9t04.00","Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census","4. Mixed"
"1968101000006116","976731000000106","2484831000000119","9t05","9t05.00","Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census","4. Mixed"
"1968111000006118","976751000000104","2484871000000117","9t06","9t06.00","Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census","4. Mixed"
"1968131000006112","976791000000107","2484951000000116","9t08","9t08.00","Asian or Asian British: Indian - England and Wales ethnic category 2011 census","1. South Asian"
"1968141000006119","976811000000108","2484991000000112","9t09","9t09.00","Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census","1. South Asian"
